run,score
1,240.90805734581306
2,247.49340574495383
3,305.26008980759025
4,247.66884409280703
5,250.7012404420506
6,238.3092414343762
7,282.97186294580183
8,290.3556534342297
9,263.86657183754033
10,270.6880124962379
11,263.89481161468393
12,289.61767059810245
13,284.4190272888423
14,245.56208867263197
15,248.8467155091776
16,265.79364030242226
17,263.63595366819766
18,280.26345814238715
19,280.97866277313454
20,242.31329211997166
21,233.15688598937498
22,250.61451836544953
23,297.0043327205212
24,255.3940299892071
25,258.80167155556404
26,286.40031284937777
27,254.94854263950603
28,287.8156816553136
29,231.98177466296423
30,260.5612795528893
31,286.58981615157984
32,257.86078881454256
33,283.54741561959713
34,277.07832281583
35,303.3398429740458
36,295.0655313116431
37,250.5865920034788
38,288.7992280716476
39,223.93441858748537
40,253.83422986007142
41,297.27209395805755
42,260.39995222600453
43,245.28423970361516
44,281.84505591249126
45,302.93171082874863
46,246.7365995133331
47,278.3085805495441
48,234.93737296508718
49,239.5264030471762
50,242.91347420266982
51,295.2697338885923
52,278.2680969309605
53,283.84702744345105
54,269.1831079431324
55,267.171970870921
56,296.73978752390485
57,254.05449582556193
58,261.32240361584127
59,272.10505785928194
60,246.69337796125944
61,303.9817247479912
62,267.3960804902165
63,261.07543922321287
64,292.8013005614338
65,236.35437236083254
66,266.63679876981803
67,253.4152204643638
68,273.6333987221795
69,272.2788863517301
70,276.7414597935652
71,266.13324415038346
72,253.57529677917483
73,236.33421203394153
74,259.632378967218
75,260.1095398814172
76,238.96081079501818
77,297.7813870936006
78,260.4010876768829
79,248.80911784897032
80,298.7051293102999
81,274.5620400472915
82,285.91828560309835
83,250.64381951191632
84,239.7303566478396
85,267.6839554621955
86,313.3232969173655
87,256.7690172587104
88,307.58956432560456
89,253.27060249538633
90,274.24048091404893
91,285.9576967373416
92,284.8411828886749
93,267.39252237515734
94,286.2606078669769
95,281.7693852750518
96,287.84769978819645
97,234.93832023480658
98,250.50255120325153
99,259.00112395607533
100,279.05895325506367
101,277.05154160212595
102,305.6958197465955
103,281.8121034043495
104,255.79115853190433
105,227.1618943240686
106,281.49367245264455
107,298.7572633949561
108,284.6337707998093
109,311.1393369640432
110,267.4601435442133
111,280.91701212798165
112,244.04730811998772
113,297.0213669504508
114,260.07059743374305
115,306.1772470151713
116,241.2124726400602
117,275.4789094774029
118,269.7395109088238
119,279.2170266254436
120,306.2766091227587
121,301.85391625728545
122,290.8445399916137
123,302.4673089835104
124,298.3619408245281
125,260.3816418738886
126,300.9606501482467
127,285.9696213675348
128,273.75464656683357
129,288.23098019311743
130,263.6968061566952
131,227.31244926238114
132,270.45763245574483
133,259.44260154044895
134,270.2785466664433
135,296.3259540130082
136,277.0166116896594
137,276.45013679971964
138,302.1122257397466
139,299.00564000014293
140,274.8514924256276
141,258.17854093061476
142,300.9952629830143
143,250.37582384567435
144,299.9522552530844
145,288.1686032342153
146,227.90364415131225
147,238.71171870051285
148,252.28294389636065
149,283.82115460326065
150,285.02034476911786
151,292.1539463960177
152,294.7789556548628
153,250.47860496266532
154,274.1273480373677
155,272.92092456664574
156,241.44366408926075
157,281.7198010569327
158,274.56234116566094
159,268.5481084955313
160,300.12017114714615
161,299.07434666006856
162,283.2168439810391
163,249.4663114751662
164,245.44489279277454
165,293.66447104506733
166,252.67450861180308
