run,score
1,-8.586549183558972
2,-129.1742337221316
3,-198.35244508126294
4,-96.21152351849904
5,146.88841350825234
6,-245.2016492763687
7,-139.25454518633566
8,-145.3201880805173
9,-172.99109641296997
10,-220.30731800147706
11,-90.37903790121157
12,-127.54568199817601
13,-165.95280689761196
14,246.8808211357359
15,140.76911664268192
16,-98.72338647903534
17,-74.15270710046764
18,-145.28758322042054
19,-132.23170228378217
20,-114.15231094467306
21,-75.90333130168166
22,-163.95259624625317
23,-252.04299676590756
24,-197.47701638753983
25,-188.69853448456666
26,-114.36749527454353
27,196.39604326524227
28,-106.19909192494232
29,170.73977432530035
30,117.51093767457306
31,-230.264536148576
32,-23.85899872607814
33,151.37273089035557
34,-115.20054772491514
35,192.49349812834228
36,163.22687940641305
37,-131.5138069802562
38,-88.6736613209967
39,-31.940460335435944
40,-44.200846636728556
41,-140.04559052734675
42,-84.79144085512873
43,-111.58399107870828
44,-296.17841109741795
45,-204.39935873750105
46,113.33795110665199
47,-114.88224549707782
48,-16.065806994557775
49,-89.8214898208619
50,-173.4405598415852
51,161.30717612995016
52,-182.40819897621435
53,-20.319330995533747
54,-152.9105593401353
55,-132.55089754529922
56,-102.28101292753395
57,-111.26576758203396
58,-100.14107669558956
59,-107.24989473743778
60,84.01170691371338
61,-263.874983269167
62,235.08777227432438
63,-148.0420692121091
64,-117.42706104498322
65,13.705199124954916
66,106.68292429175845
67,-318.61601488302637
68,-106.9564092490782
69,-151.9291691680822
70,-140.57772534470257
71,-28.09761398922913
72,121.64753293491412
73,-142.04575135091804
74,-166.41494627877688
75,-118.29933029102524
76,-191.7616572893144
77,-127.18215965352344
78,-245.28781262424894
79,-356.5685127266171
80,206.10779489127708
81,-130.0569175138586
82,-22.630831514919947
83,-183.28093739805442
84,182.06927726675002
85,-202.60886569963884
86,-54.35092539564581
87,-143.15044264154753
88,216.9970426185502
89,-437.41027369557963
90,-197.3909675350891
91,-95.14101647496166
92,-228.6282574469119
93,217.54821794151076
94,7.678091228539216
95,-132.05332866037267
96,-78.08088111316566
97,-78.56698681911904
98,-69.72266583231473
99,-103.68486608164447
100,-43.29026466541566
101,-98.39602411507202
102,-164.97860127505714
103,-110.9957572407553
104,-162.0812879925646
105,-49.30826015041228
106,278.19319755464187
107,134.93163502599455
108,-104.01757875013718
109,-161.55469888487798
110,9.14943314078505
111,-39.676513032065046
112,-289.75768607672524
113,-100.31280388624043
114,174.45853508543905
115,-150.69930115568005
116,-123.52138119171381
117,-70.08454040850282
118,175.92846285261732
119,-38.56700779263174
120,-104.41257293502312
121,-201.9300625526357
122,-169.93610142590222
123,124.79699036409872
124,39.57970723684741
125,-153.87063099514208
126,-154.40058955801078
127,-26.101755443707546
128,-118.79479769376861
129,-162.66633767749505
130,-123.9780864317184
131,-66.72194241761638
132,-55.35832950751785
133,-67.55498373035037
134,-37.09669520831717
135,-111.2721589676184
136,-73.4438894836278
137,-133.94387695054525
138,4.6927579637652315
139,-122.50712009472505
140,122.46479137946895
141,15.248871518145663
142,-57.26391130984802
143,-25.547504382998724
144,-166.27790265025834
145,-113.59212438073122
146,-43.78724969532824
147,-148.13584170500238
148,-151.0587951855489
149,248.5885640826818
150,-176.62058295222133
151,-115.88717563508511
152,-32.17018448667196
153,-51.36376394089487
154,-32.72988495351551
155,-125.36457171771842
156,-70.89893206587892
157,-152.3389531077542
158,-20.426593424846743
159,-21.951516480739443
160,251.4340005726571
161,-98.45935344459755
162,-233.1672083091549
163,-33.56743143928685
164,167.10105260831975
165,-129.92966945523094
166,160.8881450321963
167,-188.69689203435718
168,-506.2965000465297
