run,score
1,-72.04154563505573
2,-35.816694661631445
3,-70.03862477970682
4,-71.50327720047461
5,-69.30350375934317
6,-68.43492046021501
7,-71.7746596622289
8,-67.15281218584408
9,-72.22331449021132
10,-72.2510320473315
11,-33.29503416111721
12,-18.2171955111152
13,-67.64053278239454
14,-68.7991544043541
15,-68.66836751001064
16,-61.03140180844007
17,-35.127789402907084
18,-68.03438126947677
19,-66.45984982451449
20,-70.42132689019039
21,-72.13024616997498
22,-72.18700689199068
23,-71.95754535788653
24,-72.06286695907917
25,-65.81659617400354
26,-25.765299729415183
27,-72.01381458899222
28,-71.51597167381709
29,-72.90876882388584
30,-68.75415196685623
31,-61.64630872494032
32,-67.29679096172686
33,-70.81551123498022
34,-33.82125491569481
35,-68.88596559658652
36,-63.85554714120545
37,-72.21269421151888
38,-36.16718992201434
39,-71.47618564260331
40,-71.82471120234095
41,-69.54561999404272
42,-69.56125465291
43,-65.37951282289362
44,-71.78372505324113
45,-68.37957739326296
46,-64.35761671771179
47,-32.09195609919931
48,-31.403153636575432
49,-49.95191610306916
50,-70.75448477943233
51,-33.267852040539076
52,-32.71401483678827
53,-42.31791704160816
54,-72.28337470832945
55,-25.143700860256864
56,-69.22505443271098
57,-36.452142914325044
58,-73.08060281026307
59,-25.357974316210413
60,-66.9867120256625
61,-26.009920810982965
62,-68.50452872249161
63,-34.566381608683095
64,-65.56597512529595
65,-70.55316812981476
66,-70.80848559222625
67,-72.21662035854166
68,-72.77278342361468
69,-32.44765869898021
70,-25.3429519245051
71,-71.34518779273245
72,-58.615131624604125
73,-26.657983808369035
74,-32.82649883008445
75,-36.46437785190897
76,-26.706632386821376
77,-62.86468685017382
78,-29.306896927740432
79,-24.975773642285063
80,-63.623565207488284
81,-24.894521947768073
82,-25.697784958083126
83,-71.22775097462568
84,-25.322674829034572
85,-70.52716724142894
86,-65.89967403544708
87,-69.10923304431142
88,-67.40527291710902
89,-67.86029450031934
90,-66.03675858563196
91,-71.03412921019036
92,-66.87208746762013
93,-31.946308990106854
94,-38.42079786314509
95,-65.38692893744052
96,-72.30419395787628
97,-72.2142034355643
98,-71.32500621354184
99,-36.36257727693816
100,-68.99627192696856
101,-25.14881123700179
102,-64.88977777053084
103,-72.0348105027955
104,-71.23230430842054
