run,score
1,301.3729091809169
2,300.4646468408533
3,301.28659630778884
4,300.56676302803277
5,301.7469754929056
6,300.7436769714927
7,300.99706204402315
8,301.35960919652115
9,300.56930265815646
10,301.04548102212016
11,299.6809661855072
12,300.6799940948149
13,301.2193188379249
14,299.9798998075786
15,301.7597010117375
16,301.1396317719261
17,300.5803336176458
18,299.8789925292371
19,299.83199459257844
20,300.4940742583069
21,301.05953457343054
22,299.60063669260904
23,300.2639885263934
24,301.0608675436879
25,300.7851922465199
26,301.3165281678341
27,301.295990795149
28,299.95186942536446
29,300.78047455740057
30,301.2388469879561
31,301.6794109544388
32,301.6662147193007
33,300.4866875603385
34,301.0440373911533
35,299.3054709128074
36,300.91691702366865
37,300.59104166392984
38,301.4416776488583
39,300.75072601805647
40,300.64848866028706
41,299.7679838277147
42,301.47425187190163
43,300.8693309561019
44,301.5388203530822
45,300.2224075628258
46,300.38665607319274
47,299.81251610277417
48,301.7698026077608
49,300.0757385779434
50,301.845414846612
51,300.2182891128395
52,300.13345160429196
53,300.2283585617576
54,301.2167302902697
55,301.700065758535
56,300.9418444406838
57,301.6326799731171
58,299.84095474108847
59,300.0172179282321
60,300.7499734541352
61,300.3521050103753
62,300.52163035034306
63,300.3730892624439
64,301.80025915367867
65,301.3802537008392
66,300.3674234557332
67,300.69372445055916
68,300.48263507841193
69,300.5996811337666
70,301.2245765781147
71,300.34608420381335
72,300.6119282205813
73,301.5018846107557
74,301.213607180797
75,299.6066247720516
76,301.1955153779724
77,302.6224320488197
78,301.50271075024534
79,300.70963105209404
80,301.15833375737964
81,300.65673752789843
82,299.4698800427601
83,301.0616409134626
84,300.3685151196004
85,300.0042206643793
86,300.91812380204544
87,300.0453951179779
88,300.8990684164486
89,300.2731327933031
90,300.18986560908326
91,301.6444832450061
92,300.22233808406423
93,299.86856004260045
94,300.934968854834
95,301.53649146369554
96,301.24867055337944
97,300.1374197717016
98,299.91997711525727
99,300.9068481856276
100,299.69103708006395
101,300.495084677734
102,300.58398773426177
103,300.1116679615366
104,299.7052023468624
105,300.3328368979723
106,300.2336174685945
107,300.12968907076686
108,299.78105722083706
109,300.7863992575482
110,300.273575842319
111,300.97251793021206
112,300.5706200191051
113,300.18318958558643
114,300.9296522922991
115,300.749284875436
116,300.0760409779003
117,300.9787490061778
118,299.5779534231044
119,301.2294566362556
120,300.4830280677204
121,299.3122471291594
122,300.84202566535055
123,299.44529161303296
124,300.75983932273476
125,301.1789768339583
126,299.51242994213936
127,301.6052144100236
128,299.4129175396918
129,301.3868680667678
130,300.38367848993573
131,300.56256150860685
132,301.1441340456216
133,300.23061025484884
134,302.2487132879554
135,300.6874552803006
136,300.42916405922716
137,301.74077050522123
138,301.4600787318314
139,300.47833704958975
140,300.47525794533806
141,300.2522290967661
142,300.84099909848317
143,301.2189225606925
144,300.71235894906084
145,301.1988513370231
146,300.3613357601335
147,299.7725727830824
148,301.48466563078944
149,300.3896818431926
150,300.39357233953893
151,301.3381427531925
