run,score
1,-72.44284380642058
2,-72.45043911214047
3,-68.98287971888773
4,-25.097931154693324
5,-62.09513090293669
6,-47.30431029159948
7,-72.89936077579767
8,-56.831908850674644
9,-73.06713362812839
10,-39.354992495404346
11,-69.79625980597201
12,-25.1059454307165
13,-28.04750624093876
14,-73.26268099494652
15,-43.251717126801644
16,-39.63057344870838
17,-65.07396532587227
18,-59.10572516864738
19,-74.31674886151485
20,-68.25179060931109
21,-74.45296398929372
22,-57.73181956723384
23,-38.31394624147123
24,-69.03934917717287
25,-64.3884277262494
26,-62.39199823454519
27,-62.49292288781109
28,-69.24134045144704
29,-25.78562364099471
30,-68.53569375874164
31,-70.00661762748449
32,-72.28374561880237
33,-65.24282325042236
34,-74.20364207484606
35,-70.52190170571868
36,-67.14280897614016
37,-26.49348499537503
38,-73.76313045003751
39,-74.78147469130458
40,-68.15055012199055
41,-29.74022091108226
42,-32.15766854170014
43,-25.66162890070152
44,-19.738556999086217
45,-36.52350547945663
46,-40.549790990212436
47,-72.34494998108805
48,-25.016637550034417
49,-69.48259366298058
50,-54.811081153078305
51,-45.332433946330454
52,-29.633202050244417
53,-29.506286152110636
54,-66.57335193856437
55,-75.38323772274651
56,-46.26569329720983
57,-68.19512330213738
58,-49.58234594273999
59,-72.44433556906311
60,-57.988635362196014
61,-68.53308487815029
62,-70.59585688941961
63,-25.453036674408484
64,-72.3913457918102
65,-68.58365763644738
66,-25.49401143562927
67,-72.43585744506537
68,-67.45678402163897
69,-38.70160955966906
70,-71.16963564785432
71,-56.63010961974609
72,-57.97016220625233
73,-72.27540774033369
74,-65.05776619776665
75,-23.482286399987235
76,-57.75636109763719
77,-67.51911400075126
78,-72.13368814020696
79,-67.94206348374667
80,-73.43055984457047
81,-66.29509230129582
82,-75.56069529391752
83,-58.578710753134125
84,-39.376760904044
85,-68.12897039241817
86,-57.99056448533373
87,-39.92307335235174
88,-54.9617365906629
89,-75.43290224988473
90,-25.45313833572219
91,-68.93300376145163
92,-57.75181656287897
93,-63.34471110048513
94,-72.04189301403672
95,-69.64223737882963
96,-73.5827111286876
97,-25.33985367675746
98,-39.59775099872348
99,-74.24279363444576
100,-67.28584725401592
101,-75.09472827728798
102,-67.68111256123497
103,-68.42377778746621
104,-33.06136010907034
105,-75.19375643437984
106,-43.79855467517611
107,-43.6208232831672
108,-72.05491093116596
109,-73.14199409130237
110,-68.25207706725665
111,-76.2654849875818
112,-68.15376450248594
113,-66.23870538181629
114,-72.07899107677102
115,-72.51848335718118
116,-32.065113245356336
117,-75.63369815681635
118,-43.171134158308185
119,-31.283104153199414
120,-43.6308565819797
121,-61.2436867172061
122,-60.540846645845065
123,-64.405377784056
124,-27.48363037056716
125,-39.52342291845325
126,-29.999051603666256
127,-39.1719312689599
128,-25.45474386927503
129,-39.57560094324287
130,-25.427842810118445
131,-44.05372885837147
132,-73.04288013941988
133,-61.96858636802017
134,-57.94972423108056
135,-25.388463676861004
136,-53.93235535967776
137,-39.75536765955046
138,-71.79897297837765
139,-68.02066136369817
140,-25.33347109374556
141,-62.621558886586946
142,-40.82966310905627
143,-57.95711938748152
144,-68.78017765979986
145,-65.03359948252124
146,-39.08371563353394
147,-72.03500659996367
148,-72.74455804070901
149,-25.324955458559614
150,-72.82215808711415
151,-65.38865710493258
152,-39.913263516553315
153,-25.284995378894077
154,-43.542287123663336
155,-72.02472032098989
156,-49.05444718978976
157,-51.123760760224954
158,-30.825237694275124
159,-51.71204374598657
160,-54.29523476034034
161,-31.713957113834887
162,-65.49717781949073
163,-25.306484756836202
164,-38.70480937957007
165,-67.1807715650352
166,-63.51617696859502
167,-72.93537759845
168,-65.95910787716912
169,-25.75780945327992
170,-65.94719431362533
171,-36.5487505463561
172,-25.04222180039744
173,-65.25701107358816
174,-23.468761336940013
175,-69.99578426062126
176,-57.925520124391966
177,-61.36048035146814
178,-44.33818098482674
179,-39.88796807569445
180,-61.483737818576024
181,-73.92466799483933
182,-63.383406341971465
183,-54.35214024851662
184,-25.628738083869592
185,-72.08681191056314
186,-72.04822389035259
187,-67.5693753262082
188,-72.13823052333223
189,-66.9077297849538
190,-39.708920472763076
191,-58.558972583034176
192,-59.10696710944617
193,-69.83057090367618
194,-69.18561077275915
195,-39.23174664886991
196,-39.528370810637476
197,-63.55248800083339
198,-70.01370874064844
199,-68.29703562098989
200,-68.57320041026928
201,-45.62304765092747
202,-42.86866376232948
203,-38.37705014304369
204,-39.41675718098117
205,-57.97904627572218
