generation,reward
10,-216.14276476930365
20,-151.33138731616765
30,-122.44659373753947
40,-115.55430442408334
50,-99.1259207965649
60,-72.60705713509924
70,-45.52591470594159
80,-7.542648188511497
90,24.641878144890654
100,62.47361576617215
110,89.5739750369103
120,156.1056520881767
130,184.2729142575891
140,204.70978643145364
150,223.08220439363126
160,225.9686704667621
170,232.06982966906247
180,229.02471915414998
190,211.48602438945943
200,209.34480035757554
210,213.83731839716992
220,209.25121588931444
230,228.36356600792476
240,237.52687379059913
250,233.540952088355
260,239.75028565751148
270,233.90700794734437
280,245.0339791083618
290,251.59754855554422
300,237.760854656351
310,245.78964687432665
320,236.28912733741768
330,237.41598014815662
340,248.50178797850816
350,246.20629813934147
360,251.00961788598977
370,246.6245969167987
380,251.82955000920208
390,255.97702015010856
400,248.92819444421013
410,249.5297501617016
420,249.51686863295328
430,249.66597469224698
440,245.19966918770547
450,249.2189773950296
460,245.4245874073008
470,249.597022263744
480,244.4166965179656
490,254.01392008406748
500,256.63476448451
510,263.8715426121257
520,252.79159851258743
530,257.2991164255937
540,256.5989119696385
550,263.64970583992977
560,255.52003177464024
570,251.6485495075967
580,257.89833786581937
590,260.19515654014805
600,256.8332538214398
610,258.78178800345376
620,258.9100472006164
630,261.16055653305614
640,259.65358012944216
650,254.14604031634286
660,256.4969169297467
670,262.99944697871143
680,261.27660052393554
690,260.7115604961276
700,263.94390700916864
710,258.5103414667266
720,262.9419109648613
730,264.2863357977875
740,262.02257808086677
750,261.91242416318397
760,259.8122954677715
770,266.8846308159726
780,265.10748529945204
790,262.97985439135897
800,261.89477218106447
810,262.4035854123032
820,266.19988539287954
830,259.8787713196591
840,258.9353926605471
850,261.131904100448
860,262.65733105535526
870,261.64992704643737
880,262.7004085877275
890,264.0665433059163
900,253.8411253365142
910,266.2407793364981
920,262.018335882593
930,268.59691609813854
940,261.26956597814103
950,269.58964896357224
960,265.28292246918977
970,261.27025013927386
980,256.9320176195639
990,263.0632248272872
1000,258.23475173942984
1010,251.98622686707284
1020,262.1071469000001
1030,264.572714051921
1040,265.2343008098135
1050,266.0919941001795
1060,265.27039078654843
1070,262.0830117599402
1080,255.78750556246092
1090,249.7262735748905
1100,254.7750191341247
1110,260.74296131280653
1120,261.2651327084422
1130,262.35075969441493
1140,262.9933217519532
1150,265.26462238691215
1160,261.0500511056865
1170,263.2731103043074
1180,261.9493416944169
1190,264.2721680687206
1200,254.99349353720896
1210,269.2048272352338
1220,262.11763091461694
1230,263.71131726507554
1240,256.9909248633089
1250,260.48333907419743
1260,263.74345402150914
1270,262.9082297774602
1280,264.77360814267
1290,250.1499666545377
1300,264.50426234883093
1310,257.34476949256134
1320,263.48193389904316
1330,262.5179083881667
1340,262.7125051737264
1350,274.2856612464826
1360,269.56832093716196
1370,266.2446137372436
1380,262.2405447396643
1390,264.53377790763557
1400,261.677446968519
1410,261.61046093211735
1420,266.65188475869775
1430,267.01952672662287
1440,265.32181931277523
1450,268.7046062365865
1460,266.9472626511532
1470,267.7698549368574
1480,269.6740575538711
1490,268.938690698325
1500,268.88224587536337
1510,269.73188206057677
1520,264.3620268221201
1530,267.0446409836234
1540,265.1297768005695
1550,262.08773480958837
1560,267.29372305942684
1570,262.12614958059106
1580,258.3330730326769
1590,268.29749726307887
1600,267.7324211463482
1610,271.62279588487013
1620,267.3118502439465
1630,266.26637538395016
1640,268.402940107959
1650,262.6094494103238
1660,263.35383340427836
1670,271.86035772867405
1680,261.40910582822295
1690,260.31529861610323
1700,263.7087495130347
1710,262.8176482788248
1720,260.9696938604526
1730,259.09294373756984
1740,263.67784217143344
1750,264.22231653869994
1760,263.78891348546114
1770,271.14973216301314
1780,268.8269355814442
1790,266.23295612162894
1800,265.5791981227618
1810,264.60713363544403
1820,267.0429255168628
1830,270.5690822344483
1840,266.0320333800456
1850,267.2481613184212
1860,268.06131721740655
1870,258.57321195871094
1880,266.193495925105
1890,269.316950483471
1900,269.82833517954896
1910,267.21072537285573
1920,272.47596827257865
1930,271.95058084962216
1940,270.2419609409365
1950,271.5752059420969
1960,271.08104384277436
1970,269.1671030724826
1980,273.3315934779079
1990,267.73819803350796
2000,270.20023028861846
