generation,reward
10,-102.89038210141192
20,-102.30482007698706
30,-71.09025277216313
40,-117.77322586468998
50,-113.07525996266547
60,-110.68759148060728
70,-112.77693704377842
80,-124.94115813004684
90,-119.81736235494024
100,-85.40839337287507
110,-112.08810885554344
120,-111.25921933914644
130,-107.45505063241887
140,-102.69810829292908
150,-93.89509664911047
160,-103.27338708432505
170,-97.5616812565259
180,-101.42055717610849
190,-123.0624391876136
200,-131.68061085328506
210,-38.97314599192187
220,-114.5383353467876
230,-41.545951159183915
240,-67.19999401483476
250,-87.51108973589514
260,-119.32082476457128
270,-57.51556654763308
280,-69.64066077875877
290,-67.99490951105204
300,-70.91681213694302
310,-48.97225539993648
320,-95.5015416271774
330,-34.25105502294957
340,-77.18686204605936
350,-86.85647877462466
360,-97.35486606384185
370,-112.0468379558802
380,-101.65682710227546
390,-64.3369312748626
400,-34.610497970688265
410,-39.50190605266878
420,-44.53938395209669
430,-30.807942106444454
440,-36.86027283833396
450,-42.512923047449306
460,-54.26920135483037
470,-41.79754983909849
480,-67.4777885316083
490,-56.33224369421966
500,-50.90186361045794
510,-55.80419380895846
520,-83.01330263550767
530,-81.12120243759627
540,-107.68002625300532
550,-76.43756229707654
560,-98.29582294953994
570,-92.70170149814335
580,-114.02346958435592
590,-102.79995056106084
600,-93.43108382436853
610,-94.65508246823451
620,-103.31680302419542
630,-82.04608762525466
640,-48.11496937552675
650,-30.738191028739713
660,-21.248496163640535
670,-17.091238172832018
680,-19.49266194040866
690,-68.5810335493418
700,-11.72017083375491
710,-61.12179116372552
720,-63.49194384517631
730,-32.99508258496665
740,-37.23690285938703
750,-8.819738203223098
760,-23.15283815521746
770,-17.825631573427792
780,-40.325195523749855
790,-52.07311283296419
800,-37.194121251706335
810,-23.61578092836652
820,-20.990696709267404
830,-37.64312385473817
840,-49.92501246818805
850,-22.026987409148393
860,-36.00960967104842
870,-54.86062171040767
880,-34.44223005217217
890,-51.20420191470707
900,-28.771474276121847
910,-46.02386763871985
920,-56.74122653254282
930,-58.197336936137276
940,-119.09301842746086
950,-70.65835353925034
960,-31.96345933857978
970,-31.81930561132423
980,-25.19563045935835
990,-16.915599856342567
1000,-53.55040667048015
1010,-40.259931073371334
1020,-14.384687932827635
1030,-56.875772388168244
1040,-33.08067192249472
1050,-79.8017679131407
